id,T_mod_K,T_fuel_K,n_rods_in,void,k_eff,k_sigma_pcm,F_assembly
124,548.3,916.7,0,0.0127,1.151836,55.3,1.2619
125,560.0,947.1,2,0.0073,1.127875,57.6,1.7952
126,543.1,926.7,2,0.0000,1.136518,58.1,1.8247
127,560.0,913.6,1,0.0000,1.139354,57.6,1.6251
128,560.0,907.4,3,0.0000,1.117826,54.0,2.0508
129,553.4,842.2,2,0.0195,1.127219,62.8,1.7977
130,558.5,864.3,0,0.0000,1.149608,61.4,1.2613
131,549.7,892.9,0,0.0098,1.150548,61.2,1.2687
132,548.8,941.9,0,0.0000,1.153644,64.4,1.3146
133,560.0,840.9,0,0.0000,1.149608,61.4,1.2613
134,554.4,968.6,0,0.0184,1.147165,53.5,1.2789
135,555.2,885.8,2,0.0120,1.127307,65.1,1.7980
136,560.0,870.2,1,0.0000,1.139354,57.6,1.6251
137,556.5,834.7,0,0.0202,1.146149,62.1,1.2688
138,552.4,908.8,0,0.0062,1.151343,57.7,1.2588
139,555.5,846.5,0,0.0221,1.144849,51.9,1.2529
140,560.0,931.3,1,0.0000,1.139354,57.6,1.6251
141,551.2,946.1,0,0.0000,1.152151,59.9,1.2649
142,560.0,860.9,0,0.0000,1.149608,61.4,1.2613
143,560.0,836.0,1,0.0110,1.135710,56.9,1.5550
144,560.0,901.6,0,0.0236,1.145081,58.4,1.2626
145,560.0,875.6,0,0.0146,1.147169,58.5,1.2603
146,560.0,957.1,2,0.0281,1.122999,64.8,1.7548
147,545.1,849.8,0,0.0004,1.155074,57.2,1.2969
148,559.4,881.2,0,0.0000,1.149608,61.4,1.2613
149,557.0,922.8,0,0.0038,1.148890,64.5,1.2437
150,554.1,897.1,0,0.0000,1.151045,57.5,1.2433
151,557.5,966.2,0,0.0000,1.149608,61.4,1.2613
152,560.0,963.6,2,0.0000,1.129422,49.6,1.7942
153,544.3,932.2,1,0.0034,1.144064,54.8,1.5757
154,545.5,938.6,0,0.0000,1.155383,60.4,1.2445
155,557.9,950.7,3,0.0000,1.117826,54.0,2.0508
156,560.0,883.9,0,0.0274,1.144912,57.1,1.2623
157,542.0,959.5,0,0.0000,1.155881,50.1,1.2844
158,560.0,866.5,0,0.0000,1.149608,61.4,1.2613
159,560.0,919.5,0,0.0000,1.149608,61.4,1.2613
160,552.8,889.6,2,0.0000,1.132648,60.7,1.8327
161,550.5,955.2,2,0.0152,1.127379,58.6,1.7388
162,544.9,894.5,0,0.0000,1.154774,55.1,1.2675
163,560.0,854.8,0,0.0294,1.144366,59.3,1.2537
164,547.8,877.0,0,0.0248,1.148239,65.5,1.2694
165,543.2,936.6,1,0.0022,1.144296,61.5,1.6267
166,560.0,873.2,1,0.0084,1.137020,62.9,1.5672
167,549.5,902.9,0,0.0250,1.146499,57.4,1.2472
