reactor,P_th_MWt,P_e_MWe,thermal_efficiency,discharge_burnup_GWd_t,tHM_per_TWhe,note
"Aegis-40 (ours, rev_3)",125.0,40.0,0.3200,29.6,4.399,"SBF iPWR, Gd+Er, once-through, 2224 EFPD"
CAREM-25 (reference),100.0,27.0,0.2700,24.0,6.430,"SBF iPWR, Gd-only, ~3.1 wt%, 27 MWe central (25-30 band)"
