case_id,T_mod_K,T_fuel_K,n_rods_in,void,k_eff_GP,F_assembly_GP,MTC_pcm_per_K,DTC_pcm_per_K,void_coeff_pcm_per_percent,rod_worth_0_to_12_pcm,powermap_min,powermap_max,powermap_sum
reference_HFP_ARO,550.0,1000.0,0.0,0.0,1.1582796604169656,1.2573963503950683,-39.211710660536085,-2.630698935046638,-241.11779629962803,15468.235492664007,-4.828232830079717e-18,0.019236803301869693,0.4672516406020252
hot_moderator,555.0,1000.0,0.0,0.0,1.1563044002570546,1.2573756176622501,-39.79842214414386,-2.631657238849616,-241.77764205743912,15532.81199603811,-4.826956320699614e-18,0.019203003702730422,0.4670083504734122
partial_rods,550.0,1000.0,6.0,0.0,1.1036545488687204,2.0227682329419707,-49.90606156407562,-2.5528833039412113,-274.99688390837383,15468.235492664007,-4.0144611988767867e-19,0.025419439506777358,0.4558437085821223
void_5pct,550.0,1000.0,0.0,0.05,1.1461307690208502,1.2544103767542785,-39.869336712372586,-2.6302435188529927,-245.02619982025308,15868.117303885287,-4.885416201476951e-18,0.01924460795167278,0.4659091690584405
