r_cm,phi_fast_n,phi_gamma,dose_uSv_per_h
6.100000000000000000e+01,2.500000000000000000e+13,7.500000000000000000e+13,3.708000000000000000e+07
6.320000000000000284e+01,1.704480368191418359e+13,2.873332722908876562e+13,2.495827721405529976e+07
8.000000000000000000e+01,2.386249900516786133e+12,8.639419067829947266e+12,3.560607491320923436e+06
8.250000000000000000e+01,1.558854716739641357e+12,2.931644957308516602e+12,2.286966479490325786e+06
1.400000000000000000e+02,2.460494990649650097e+09,6.332149431072180176e+10,4.454942304609890016e+03
1.405000000000000000e+02,2.265504517694223404e+09,5.114474591273074341e+10,3.998810846623004181e+03
1.565000000000000000e+02,1.676207918982252777e+08,6.501165267124646157e+07,2.423101081319103685e+02
1.965000000000000000e+02,1.334461219787885696e+08,5.165361091568070650e+07,1.929062276466413550e+02
2.385000000000000000e+02,2.616901375318031758e+06,8.891496424799422966e+05,3.781141735309677010e+00
