cooling_yr,activity_Bq,decay_heat_W,radiotoxicity_Sv
0,1.230069e17,16548,2.11e9
1,1.115351e17,14229,1.92e9
5,8.486778e16,9519,1.48e9
10,6.871921e16,7497,1.25e9
30,3.726645e16,4643,8.01e8
100,6.421592e15,1272,2.54e8
1000,2.518338e14,209,6.08e7
