isotope,grams,wt_percent_of_Pu
Pu238,1105.5,1.45
Pu239,47861.6,62.79
Pu240,16128.4,21.16
Pu241,8660.6,11.36
Pu242,2464.9,3.23
Pu_total,76220.9,100.00
